,user,username
4928,237600536,WebsterGTarpley
4942,1848514511839318016,JeffLegget1969
4947,19564105,WSJGraphics
4964,1120059912518762501,carigaabo
4993,338895489,gossmata58
5000,88935290,Warwickshire_CC
5006,1482172173309599744,birungijoselin2
5012,1263604554110832645,USATRUMPMAN1
5019,262448875,Rural_News
5020,106284796,nickofnz
5026,121546530,GAFollowers
5062,843587548010221569,_LoveLiberty
5065,15250661,newscomauHQ
5069,1061742194950881281,JimBagaDonuts
5100,2663489029,InvestigatorSSC
5104,2596143056,MoHFW_INDIA
5108,240641671,UNICEF_Nigeria
5115,100453427,NHSDevon
5117,15468229,ABKayEl
5125,1376082368440774659,Dr_HamidJafari
5127,54043071,wooody2004
5131,2966848055,jellen805
5146,121211932,SAgovnews
5148,95869752,BjornLomborg
5151,410334710,CBCHamilton
5156,27943005,lesleyabravanel
5191,809157554643222528,ShannonHeckt
5193,457984599,BreitbartNews
5212,1341773859733835777,SAFECommCo
5217,344171667,KAMCNews
5256,23824000,Frank_Schaeffer
5271,16815644,ABCPolitics
5274,24860017,_Docinfo
5275,52944689,MattBatzel
5282,31695753,Practicepage
5291,9484732,amacker
5302,68975839,billineastala
5310,988967122809143296,UNICEF_vietnam
5314,1835791226836029440,AntifasAunt
5315,940836710216273920,WHOPakistan
5318,261607651,_Udeme_
5350,1450016925484978182,TKurina
5363,1499802279687376898,BadGarlandTakes
5380,800077826758033408,SallyBriggs34
5404,1381748088373710848,anenigma420
5415,1621448529817239553,BostonFren_88
5417,783494577869041664,Yvonnem01753850
5435,850678274,ChristinaSpjut
5454,3082370369,ThinkingMunk
5464,2432830728,SPBMcKenna
5466,223989466,mmeJen
5471,1534714884386062338,allison_callis
5478,97982011,joshg99
5483,1343221765,Dkmorris0204
5484,2380259108,The_NewArab
5491,488950348,JeromeAdamsMD
5495,1415662428,SNEEICB_IES
5521,35239459,RIHEALTH
5525,30291436,diane672
5538,69872253,JeanneCBC
5540,68784628,NavyCaptRet63XX
5543,72966788,HISteveWilliams
5549,16727814,ibbchris
5554,1565388628599214088,valuecarenatura
5555,811533451,mtlblog
5575,17836882,FOX5Atlanta
5576,1807783879996006400,SuperMAGA17
5593,1464194156776022023,JohnKel58896389
5614,37957895,WoodstockSR
5622,1610405213080522754,ThePatriotsPray
5648,1104119374384979973,CircusIsCalling
5654,119837703,ChuckRossDC
5669,3316515863,hbrausch444
5684,1194962714,VPrasadMDMPH
5693,1370869392,JustinWeRchange
5706,2169338593,MikeParker8200
5714,1434542738326839307,MissJoanne62
5730,2981535438,middletondrew28
5746,415707482,taniataylorpowe
5761,1656027910854135811,RealMattA_
5765,21651982,lsferguson
5802,1646253686836932608,UnifyAmerica9
5818,1646332967600508932,rco_pmp
5819,1500895005011062790,VRHOUGHTON
5842,1813632634003865600,MaryUrquha97882
5849,38208912,Tara_Windwalker
5872,895923710544228353,Vaccines_MDPI
5881,1558406653,EpiEllie
5893,1289372294,SuetsawSusan
5895,17394793,News3LV
5909,1502465993704099844,Charles07788205
5956,16300083,gspowers
5958,25186557,jbh2175
5963,2329907772,jhallito
5966,121639467,7NewsMelbourne
5969,2564571469,Doctors__squad
6000,1381047996939264000,snipetrades
6001,1806461173665308672,DuavataNews
6009,30109507,mcsweeneys
6020,28158298,CityNewsHFX
6026,69327809,mygpb
6045,1544235730532110336,tvbsworldtaiwan
6048,264403329,TCGalltin
6059,1519027638970560515,xhunter4u
6065,861571069978722305,John_the_L
6084,20818801,dailykos
6088,19087651,DemFromCT
6107,7424642,japantimes
6136,106977429,calexander007
6140,1027727549550526464,ewindham3
6143,816849480909602816,DonDrawsStuff
6170,22908049,BristolCouncil
6177,788049408092962816,MichaelDBlush1
6223,1115486368459710465,FliesLordofthe
6268,6573302,lubbockonline
6296,1521510387929255938,All_I_CannotSay
6298,1867570068,Dr_Timefox
6309,3016643513,Unlikely_Buddha
6328,400879351,RWEmerson1
6334,1118611940882960384,amantonio7
6335,145036955,KCPubHealth
6371,17781837,WJCLNews
6380,1254907995324125184,GeorgeMonks11
6389,1572242183767441411,BabyD1111229
6404,1101967884790710273,Retro_Stu
6421,1182761232,DrCChambers
6439,3223320464,Raffiatim
6462,739844197935644672,AmoneyResists
6492,131050725,MEinRhyme
6496,848945411100471296,dr_andrealove
6501,1087148320794046464,Aherne_Ado_Atri
6520,1568361462,North_Resists
6523,1377247476,UKHSA_EoEngland
6529,1258575463,kadamssl
6560,1826791076012728320,thispostisbased
6563,1649904706087682048,Kitcat190197948
6579,1386755574470119426,uwLYnB6zA0pfl7G
6593,1792509283587825664,getonthebutton
6598,486289771,GrabienMedia
6606,750349830174699520,JavierGC280
6652,1527778237249732609,BirdieBittern
6660,44513878,TexasTribune
6678,124878802,CanGal_39
6721,1540883154,AjeboGang
6725,445793619,TVC09
6735,983291309799571456,ICMR_RMRCBBSR
6748,1460714714128740352,BerryRazi
6768,2463191288,SixNationsGR
6772,43517172,3ty3
6783,807865098,DennisKendel
6786,1521965568022122496,HerHalo3
6796,369808606,SAHealth
6802,4225767500,karenk_____
6818,1319055576702341121,PhysicistTx
6841,325113018,GaDPH
6842,1296507944570216448,ImmunoPodcast
6867,1625274015878193152,NickBorynack
6874,1579141425035370497,Huntindog1
6882,94081353,Nomadness007
6902,18911279,night61
6910,315310596,MarilynEgan1
6913,44393435,ILoveMySteelers
6920,1210010606,saturn4you
6946,1488967394324201472,Reva4542
6961,57703513,ImmunizedotCa
6972,837456695613870081,LadyFantastic5
6976,1831581718597267456,WillExposeMD
6978,153343568,RachyBull
6979,3402915886,eahscp
7024,1594393783608770560,coach28373
7030,1602472683421081600,MidwesternDoc
7034,16664012,dburghart
7044,176842974,errnews
7046,1955324659,EseLokote5099
7057,1834527405907517440,iamfazilx
7060,181317154,Marlo6446
7079,37104970,WR_Record
7092,19161033,soulkhan
7155,1289432760,gguitarzan
7159,19377913,cityoftoronto
7177,1080463878,drsimonwilliams
7188,17028629,Nicryptic
7203,1539472699,theleannesarah
7245,1550424527024398337,SnowmanFelly
7249,956354334,MGliksmanMDPhD
7254,586078059,Appledust7
7255,2425847292,WabashGH
7262,84614572,KFF
7276,1829259650866487296,ImmunologistPDL
7284,1105524461166620672,NotUhura
7301,1717882363076628481,thee_alfa_house
7362,56470183,6NewsCTX
7373,16409468,amarilloglobe
7379,123252667,antonystanley09
7384,1773100194579595264,QuantumPolitik
7387,15033673,LFPress
7401,4909522369,typocatCAv2
7412,1325286656,Shaz_If
7416,1586149365680410626,DebRN1953
7442,1600267070540861456,swanzey51529814
7446,57451795,anna_bahr
7456,1771921434140377088,mckimm_jul43086
7459,1750628942,raghu_venugopal
7460,3044767152,SustainKohala
7466,1034976968381526019,Lola78580280
7472,1252739204,repmorgan
7476,880883612,Voices4Vaccines
7505,615269208,AndrewHewat
7506,1846923072932057088,autarch_praxis
7525,783025373327925248,KassMiass
7532,920515831393587201,EmmaJeanKitty
7544,1592025507100516354,cootboop
7546,113165445,chrisgailus
7547,321954654,kylenabecker
7550,2328627306,ETVBharatEng
7557,831347077267542018,DrUzmaSyed
7558,1396494923243851785,Fynnderella1
7567,16353989,WTOC11
7572,863730760477532161,wrs_willoughby
7575,1877102953288589312,dhanks125034
7613,1171448360374398976,theroxtonpract
7616,1256616372,pearce_murray
7635,1313617761419976706,EmranRashid3
7646,1073021652,SCTBusVisInc
7654,16678441,DrSriram
7659,1224972750,jukiejones
7662,71322014,DrPatSoonShiong
7664,1382714781174538242,HealthbeatUS
7667,15828025,adndotcom
7685,783052758,NickZararis
7697,956293637494792192,Matthewms97
7699,951569031500312578,chalkbeatCHI
7714,93964759,ToulasTake
7715,760916541143670784,Mooooshroooom
7729,17997467,nycHealthy
7730,967112775444123648,KenRuhnke
7751,531563448,katerina5k
7752,16211049,jepaco
7754,15725469,wpri12
7757,1326383283165425664,JpConsulting4u
7764,41300644,KateYoo
7771,1443085561594482700,FreeThinkerFit
7787,3281831000,SmarderDanU
7792,19430999,KING5Seattle
7798,797600104882446336,insiderdbk
7799,1812009703649738754,safonyameherbal
7801,1817046328666652675,BrandiAlbe43165
7821,329639562,SeneddResearch
7875,55073144,ResultsCda
7881,1106771843929788419,NotHoodlum
7892,1748144379259215872,arva61138
7903,414161997,rebeccafusco1
7905,15679641,dallasnews
7924,16635277,Acyn
7928,4852482384,EPIWATCH_bsp
7929,707226266102067201,ian2455
7939,1514073724936339457,amdaimic
7962,814270474725142528,deplorable23
7978,1004070903313936384,PeterVilladolid
7981,1806909701864476673,diana_chemu
8001,373924746,victoriamiro
8003,2164583325,ebtekarm
8013,1399930183868686336,TimSullivanX
8018,206242712,CountyGazette
8024,9907172,NECN
8035,27202261,Dushan41
8091,49697441,rstraxMD
8101,4846230078,RicciGeri
8116,1259182418,wddty
8117,140237362,tommyboy0690
8144,1551661776286228480,TawkVent
8145,758819021219168256,ChildrenNeedUs_
8147,868533357000478721,KatrinaMartling
8161,1415056215810330628,Sophiologist_
8186,1104998930557923329,sadgirlcassi
8188,1713208507049115648,W6345789
8195,926176292340490241,LadyOphelia9
8196,49849334,adamcancryn
8202,3152037499,Aussie_GC_Man
8211,740502831598346240,IDprofs
8222,1139284527573098496,KrucialRR
8233,21147300,DoctorKarl
8240,1478836085358833668,Sugoi_Icon
8297,1195389607166324737,PWB_Global
8310,1758572646801813504,resistupdates
8329,1593317708166144000,Tarde_WaterBear
8336,14803951,calgaryherald
8377,1593635660681957399,ArtCandee
8383,1524015516658151424,NHSCandM
8391,1628524165253804032,wbp2fqk9g2
